Thread ID: 2221388780
Total: 0.018387

 %self     total     self     wait    child    calls  name
  0.07      0.01     0.00     0.00     0.01        1  Rack::Lock#call
  0.07      0.00     0.00     0.00     0.00        8  Array#size
  0.07      0.00     0.00     0.00     0.00        1  ActionController::ProcessWithTest#set_test_assigns
  0.07      0.00     0.00     0.00     0.00        2  <Class::ActionController::Base>#view_paths
  0.07      0.00     0.00     0.00     0.00        7  String#concat
  0.07      0.00     0.00     0.00     0.00        6  Enumerable#find
  0.07      0.00     0.00     0.00     0.00        1  ActionView::Base::ProxyModule#include
  0.07      0.00     0.00     0.00     0.00        4  String#sub!
  0.07      0.00     0.00     0.00     0.00        1  ActionController::Response#convert_cookies!
  0.07      0.00     0.00     0.00     0.00        1  ActionController::ParamsParser#parse_formatted_parameters
  0.07      0.00     0.00     0.00     0.00        1  ActiveSupport::Callbacks::Callback#should_run_callback?
  0.07      0.00     0.00     0.00     0.00        3  Object#present?
  0.07      0.01     0.00     0.00     0.01        1  ActiveRecord::ConnectionAdapters::ConnectionManagement#call
  0.07      0.00     0.00     0.00     0.00        4  ActionController::Base#params
  0.07      0.00     0.00     0.00     0.00        6  Kernel#instance_variable_get
  0.07      0.00     0.00     0.00     0.00        1  ERB::Util#h
  0.07      0.01     0.00     0.00     0.01        1  ActiveRecord::QueryCache#call
  0.06      0.00     0.00     0.00     0.00        1  ActionController::Integration::ControllerCapture::ClassMethods#new
  0.06      0.00     0.00     0.00     0.00        3  String#=~
  0.06      0.00     0.00     0.00     0.00        1  ActiveSupport::CoreExtensions::Hash::Except#except!
  0.06      0.00     0.00     0.00     0.00        1  ActiveSupport::Callbacks::Callback#call
  0.06      0.00     0.00     0.00     0.00        2  ActionView::Template::EagerPath#[]
  0.06      0.01     0.00     0.00     0.01        1  ActionController::ParamsParser#call
  0.05      0.00     0.00     0.00     0.00        1  ActionController::Request#xhr?
  0.05      0.01     0.00     0.00     0.01        1  Rack::MethodOverride#call
  0.05      0.00     0.00     0.00     0.00        1  ActionController::Integration::Session#encode_cookies
  0.05      0.00     0.00     0.00     0.00        1  ActionController::Response#handle_conditional_get!
  0.05      0.00     0.00     0.00     0.00        1  ActionController::Request#request_uri
  0.05      0.00     0.00     0.00     0.00        1  ActionController::Response#default_charset
  0.05      0.00     0.00     0.00     0.00        1  ActionView::Template#path_without_format_and_extension
  0.05      0.00     0.00     0.00     0.00        1  ActionController::Response#nonempty_ok_response?
  0.05      0.01     0.00     0.00     0.01        1  ActionController::Filters::InstanceMethods#process
  0.05      0.00     0.00     0.00     0.00        1  ActiveRecord::ConnectionAdapters::ConnectionHandler#retrieve_connection_pool
  0.05      0.00     0.00     0.00     0.00        1  ActionController::Base#send_response
  0.05      0.00     0.00     0.00     0.00        1  ActionController::Base#initialize_current_url
  0.05      0.00     0.00     0.00     0.00        1  ActionController::Routing::RouteSet#recognize
  0.05      0.00     0.00     0.00     0.00        2  HashWithIndifferentAccess#include?
  0.05      0.00     0.00     0.00     0.00        1  ActiveSupport::Callbacks::Callback#evaluate_method
  0.05      0.00     0.00     0.00     0.00        1  ActionController::Request#session
  0.05      0.00     0.00     0.00     0.00        2  Rack::Utils::HeaderHash#initialize
  0.05      0.00     0.00     0.00     0.00        3  NilClass#nil?
  0.05      0.00     0.00     0.00     0.00        6  NilClass#to_s
  0.05      0.00     0.00     0.00     0.00        2  ActiveSupport::BufferedLogger#info
  0.05      0.00     0.00     0.00     0.00        4  String#to_sym
  0.05      0.00     0.00     0.00     0.00        4  NilClass#blank?
  0.05      0.00     0.00     0.00     0.00        1  ActionController::Request#request_parameters
  0.05      0.00     0.00     0.00     0.00        2  HashWithIndifferentAccess#dup
  0.05      0.00     0.00     0.00     0.00        2  Rack::Request#request_method
  0.05      0.00     0.00     0.00     0.00        1  ActionController::Session::AbstractStore::SessionHash#initialize
  0.05      0.00     0.00     0.00     0.00        1  Symbol#to_proc
  0.05      0.00     0.00     0.00     0.00        1  Module#append_features
  0.05      0.00     0.00     0.00     0.00        1  ActionController::Request#form_data?
  0.05      0.00     0.00     0.00     0.00        3  Mime::Type#to_s
  0.05      0.00     0.00     0.00     0.00        5  Fixnum#>=
  0.05      0.00     0.00     0.00     0.00        3  String#to_i
  0.05      0.00     0.00     0.00     0.00        2  Enumerable#inject
  0.05      0.00     0.00     0.00     0.00        1  ActionController::Request#query_parameters
  0.05      0.00     0.00     0.00     0.00        1  Rack::Lint#each
  0.05      0.00     0.00     0.00     0.00        2  ActionView::Template#render_template
  0.05      0.00     0.00     0.00     0.00        4  Module#name
  0.05      0.00     0.00     0.00     0.00        1  ActionController::Routing::RouteSet#call
  0.05      0.00     0.00     0.00     0.00        1  <Class::ActionView::Base>#process_view_paths
  0.05      0.01     0.00     0.00     0.01        1  ActionController::Rescue#rescue_action
  0.05      0.00     0.00     0.00     0.00        1  ActionController::Response#charset=
  0.05      0.00     0.00     0.00     0.00        2  Set#include?
  0.05      0.00     0.00     0.00     0.00        4  Module#==
  0.05      0.00     0.00     0.00     0.00        1  <Class::ActionController::Dispatcher>#after_dispatch_callback_chain
  0.05      0.00     0.00     0.00     0.00        1  ActionController::Integration::Runner#copy_session_variables!
  0.05      0.02     0.00     0.00     0.02        1  Rack::Lint#call
  0.04      0.00     0.00     0.00     0.00        1  <Module::Rack::Utils::Multipart>#parse_multipart
  0.04      0.00     0.00     0.00     0.00        3  ActionController::Integration::Session#https?
  0.04      0.00     0.00     0.00     0.00        3  Class#superclass
  0.04      0.00     0.00     0.00     0.00        3  Rack::Request#initialize
  0.04      0.00     0.00     0.00     0.00        1  ActionController::Response#convert_content_type!
  0.04      0.00     0.00     0.00     0.00        1  <Class::ActionView::PathSet>#type_cast
  0.04      0.00     0.00     0.00     0.00        1  Object#returning
  0.04      0.00     0.00     0.00     0.00        4  Integer#to_i
  0.04      0.00     0.00     0.00     0.00        4  Hash#has_key?
  0.04      0.00     0.00     0.00     0.00        2  Exception#message
  0.04      0.00     0.00     0.00     0.00        1  ActiveRecord::ConnectionAdapters::ConnectionHandler#retrieve_connection
  0.04      0.00     0.00     0.00     0.00        4  Array#<<
  0.04      0.01     0.00     0.00     0.01        1  ActionController::Dispatcher#_call
  0.04      0.00     0.00     0.00     0.00        3  Kernel#Array
  0.04      0.01     0.00     0.00     0.01        1  ActiveSupport::BacktraceCleaner#clean
  0.04      0.00     0.00     0.00     0.00        2  ActionController::Integration::ControllerCapture::ClassMethods#last_instantiation=
  0.04      0.00     0.00     0.00     0.00        3  StringIO#initialize
  0.04      0.00     0.00     0.00     0.00        2  ActiveSupport::CoreExtensions::Hash::ReverseMerge#reverse_merge
  0.04      0.00     0.00     0.00     0.00        1  Kernel#lambda
  0.04      0.00     0.00     0.00     0.00        3  Hash#key?
  0.04      0.00     0.00     0.00     0.00        1  ActionController::RewindableInput::RewindableIO#initialize
  0.04      0.00     0.00     0.00     0.00        1  ActionController::Rescue#response_code_for_rescue
  0.04      0.00     0.00     0.00     0.00        1  ActiveSupport::BacktraceCleaner#silence
  0.04      0.00     0.00     0.00     0.00        1  ActiveSupport::BufferedLogger#fatal
  0.04      0.00     0.00     0.00     0.00        1  Rack::Lint#check_status
  0.04      0.00     0.00     0.00     0.00        1  ActionController::Response#sending_file?
  0.04      0.00     0.00     0.00     0.00        2  Array#flatten
  0.04      0.00     0.00     0.00     0.00        1  ActionView::PathSet#load!
  0.04      0.00     0.00     0.00     0.00        1  <Class::ActionController::Dispatcher>#before_dispatch_callback_chain
  0.04      0.00     0.00     0.00     0.00        1  ActiveRecord::ConnectionAdapters::ConnectionPool#current_connection_id
  0.04      0.01     0.00     0.00     0.01        1  ActionController::Failsafe#call
  0.04      0.00     0.00     0.00     0.00        2  Class#inheritable_attributes
  0.04      0.00     0.00     0.00     0.00        2  Rack::Utils::HeaderHash#include?
  0.04      0.00     0.00     0.00     0.00        4  Object#initialize
  0.03      0.00     0.00     0.00     0.00        1  ActionController::Dispatcher#flush_logger
  0.03      0.01     0.00     0.00     0.01        1  ActionController::Dispatcher#call
  0.03      0.00     0.00     0.00     0.00        3  Array#compact
  0.03      0.00     0.00     0.00     0.00        1  ActionController::Base#assign_names
  0.03      0.00     0.00     0.00     0.00        1  <Class::Mime::Type>#lookup
  0.03      0.02     0.00     0.00     0.02        1  ActionController::Integration::Session#get
  0.03      0.00     0.00     0.00     0.00        1  ActiveRecord::ConnectionAdapters::ConnectionPool#connection
  0.03      0.00     0.00     0.00     0.00        3  Hash#default=
  0.03      0.01     0.00     0.00     0.01        1  ActionController::Rescue#log_error
  0.03      0.00     0.00     0.00     0.00        1  Rack::Lint#check_input
  0.03      0.00     0.00     0.00     0.00        1  ActiveSupport::BufferedLogger#info?
  0.03      0.00     0.00     0.00     0.00        1  Rack::Lint#check_error
  0.03      0.00     0.00     0.00     0.00        1  Rack::Utils::HeaderHash#to_hash
  0.03      0.00     0.00     0.00     0.00        1  String#scan
  0.03      0.00     0.00     0.00     0.00        3  Fixnum#>
  0.03      0.00     0.00     0.00     0.00        2  ActionController::Integration::ControllerCapture::ClassMethods#last_instantiation
  0.03      0.00     0.00     0.00     0.00        1  ActiveSupport::BacktraceCleaner#filter
  0.03      0.00     0.00     0.00     0.00        1  ActionController::RoutingError#initialize
  0.03      0.00     0.00     0.00     0.00        1  Hash#update
  0.03      0.00     0.00     0.00     0.00        1  Kernel#clone
  0.03      0.00     0.00     0.00     0.00        2  ActionView::Renderable#recompile?
  0.03      0.00     0.00     0.00     0.00        1  ActiveSupport::Rescuable#rescue_with_handler
  0.03      0.00     0.00     0.00     0.00        1  ActionView::PathSet#initialize
  0.03      0.00     0.00     0.00     0.00        1  <Class::ActiveRecord::Base>#retrieve_connection
  0.03      0.00     0.00     0.00     0.00        1  <Class::ActiveRecord::Base>#connection
  0.03      0.00     0.00     0.00     0.00        1  <Class::Time>#now
  0.03      0.00     0.00     0.00     0.00        1  <Class::Exception>#exception
  0.03      0.02     0.00     0.00     0.02        1  BrowsingTest#test_homepage
  0.03      0.00     0.00     0.00     0.00        1  Module#include
  0.03      0.00     0.00     0.00     0.00        1  ActionController::Request#content_length
  0.03      0.00     0.00     0.00     0.00        1  Object#blank?
  0.03      0.00     0.00     0.00     0.00        1  ActionController::Response#last_modified?
  0.03      0.00     0.00     0.00     0.00        1  Rack::Lint#check_content_type
  0.03      0.00     0.00     0.00     0.00        1  <Class::ActionController::Base>#rescue_handlers
  0.03      0.00     0.00     0.00     0.00        1  Rack::Request#content_length
  0.03      0.00     0.00     0.00     0.00        1  ActionController::Request#path_parameters
  0.03      0.00     0.00     0.00     0.00        1  ActionView::Template::EagerPath#load!
  0.03      0.00     0.00     0.00     0.00        2  Symbol#inspect
  0.03      0.00     0.00     0.00     0.00        1  ActiveRecord::ConnectionAdapters::QueryCache#clear_query_cache
  0.03      0.00     0.00     0.00     0.00        1  Array#reverse_each
  0.03      0.00     0.00     0.00     0.00        1  ActionController::Routing::RouteSet#extract_request_environment
  0.03      0.00     0.00     0.00     0.00        2  StringIO#read
  0.03      0.00     0.00     0.00     0.00        2  Module#method_defined?
  0.03      0.00     0.00     0.00     0.00        2  ActionView::Base#template
  0.02      0.00     0.00     0.00     0.00        1  Exception#set_backtrace
  0.02      0.00     0.00     0.00     0.00        2  Exception#backtrace
  0.02      0.00     0.00     0.00     0.00        1  ActionController::Base#performed?
  0.02      0.00     0.00     0.00     0.00        1  Regexp#to_s
  0.02      0.00     0.00     0.00     0.00        1  ActionController::Base#rescue_handlers
  0.02      0.00     0.00     0.00     0.00        1  ActionController::Base#protected_instance_variables
  0.02      0.00     0.00     0.00     0.00        2  Kernel#block_given?
  0.02      0.00     0.00     0.00     0.00        1  ActionController::Integration::ControllerCapture::ClassMethods#clear_last_instantiation!
  0.02      0.00     0.00     0.00     0.00        1  Rack::Lint#check_content_length
  0.02      0.00     0.00     0.00     0.00        3  <Class::StringIO>#allocate
