Thread ID: 2221388780
Total: 8968.000000

 %self     total     self     wait    child    calls  name
  0.02   6373.00     2.00     0.00  6371.00        1  ActiveSupport::BacktraceCleaner#clean
  0.02      3.00     2.00     0.00     1.00        1  ActionController::Response#convert_language!
  0.02   6661.00     2.00     0.00  6659.00        1  ActionController::Rescue#rescue_action
  0.02      4.00     2.00     0.00     3.00        2  ActionController::StatusCodes#interpret_status
  0.02   7396.00     2.00     0.00  7394.00        1  ActionController::Session::CookieStore#call
  0.02      8.00     2.00     0.00     6.00        1  ActionController::Request#form_data?
  0.02      2.00     2.00     0.00     0.00        2  String#upcase
  0.02     47.00     2.00     0.00    45.00        2  Rack::Utils::HeaderHash#initialize
  0.02     26.00     2.00     0.00    24.00        2  ActiveSupport::BufferedLogger#info
  0.02    168.00     2.00     0.00   166.00        1  ActionController::Routing::RouteSet#recognize_path
  0.02      6.00     2.00     0.00     4.00        1  ActionController::ParamsParser#parse_formatted_parameters
  0.02      4.00     2.00     0.00     2.00        1  ActiveRecord::ConnectionAdapters::ConnectionHandler#retrieve_connection
  0.02      6.00     2.00     0.00     4.00        1  ActionController::Routing::RouteSet#to_plain_segments
  0.02      3.00     2.00     0.00     1.00        1  <Class::Exception>#exception
  0.02    211.00     2.00     0.00   209.00        1  Rack::Lint#check_headers
  0.02     13.00     2.00     0.00    11.00        1  ActionView::Base#view_paths=
  0.02      5.00     2.00     0.00     3.00        1  HashWithIndifferentAccess#merge
  0.02      2.00     2.00     0.00     0.00        1  Symbol#to_proc
  0.02      2.00     2.00     0.00     0.00        2  Symbol#inspect
  0.02   7401.00     2.00     0.00  7399.00        1  Rack::Lock#call
  0.02    133.00     2.00     0.00   131.00        2  ActionView::Renderable#render
  0.02     15.00     2.00     0.00    13.00        1  Object#returning
  0.02      6.00     2.00     0.00     4.00        1  ActionController::Routing::RouteSet#extract_request_environment
  0.02      2.00     2.00     0.00     0.00        2  ActionView::Template#mime_type
  0.02    135.00     2.00     0.00   133.00        2  ActionView::Template#render_template
  0.02      6.00     2.00     0.00     4.00        4  HashWithIndifferentAccess#default
  0.02      2.00     2.00     0.00     0.00        2  Rack::Request#request_method
  0.01   6401.00     1.00     0.00  6400.00        1  ActionController::Rescue#log_error
  0.01      1.00     1.00     0.00     0.00        7  <Object::ActionController::Routing::Route>#recognize
  0.01      3.00     1.00     0.00     2.00        1  ActionController::Base#rescue_handlers
  0.01      1.00     1.00     0.00     0.00        1  <Class::String>#allocate
  0.01      1.00     1.00     0.00     0.00        1  <Class::Time>#allocate
  0.01      1.00     1.00     0.00     0.00        1  Enumerable#all?
  0.01      2.00     1.00     0.00     1.00        1  ActionController::Response#nonempty_ok_response?
  0.01      1.00     1.00     0.00     0.00        1  Enumerable#detect
  0.01      2.00     1.00     0.00     1.00        1  ActionController::Rescue#response_code_for_rescue
  0.01      1.00     1.00     0.00     0.00        1  ActionController::Request#request_uri
  0.01      8.00     1.00     0.00     7.00        1  ActiveSupport::Rescuable#rescue_with_handler
  0.01      7.00     1.00     0.00     6.00        1  <Class::ActiveRecord::Base>#connection
  0.01      1.00     1.00     0.00     0.00        1  ActionController::Request#xhr?
  0.01      8.00     1.00     0.00     7.00        1  ActiveSupport::Callbacks::Callback#evaluate_method
  0.01   8150.00     1.00     0.00  8149.00        1  Rack::Lint#call
  0.01      1.00     1.00     0.00     0.00        1  <Class::Regexp>#allocate
  0.01   8679.00     1.00     0.00  8678.00        1  BrowsingTest#test_homepage
  0.01      1.00     1.00     0.00     0.00        1  Array#reverse
  0.01      1.00     1.00     0.00     0.00        1  <Class::Module>#allocate
  0.01     21.00     1.00     0.00    20.00        2  ActionView::Base#_evaluate_assigns_and_ivars
  0.01      1.00     1.00     0.00     0.00        1  <Class::Regexp>#quote
  0.01      1.00     1.00     0.00     0.00        1  NilClass#to_a
  0.01     28.00     1.00     0.00    27.00        1  Rack::Lint#check_input
  0.01   8652.00     1.00     0.00  8651.00        1  ActionController::Integration::Session#get
  0.01      4.00     1.00     0.00     3.00        1  Module#include
  0.01      1.00     1.00     0.00     0.00        1  <Class::Array>#allocate
  0.01      1.00     1.00     0.00     0.00        1  ActiveRecord::ConnectionAdapters::ConnectionPool#connection
  0.01   7402.00     1.00     0.00  7401.00        1  ActionController::Dispatcher#call
  0.01   7348.00     1.00     0.00  7347.00        1  ActionController::Dispatcher#_call
  0.01    353.00     1.00     0.00   352.00        1  ActionController::Response#each
  0.01     20.00     1.00     0.00    19.00        1  ActionView::Base#_copy_ivars_from_controller
  0.01   7368.00     1.00     0.00  7367.00        1  ActiveRecord::QueryCache#call
  0.01      1.00     1.00     0.00     0.00        1  Array#+
  0.01      1.00     1.00     0.00     0.00        1  ActionController::Request#session
  0.01      1.00     1.00     0.00     0.00        1  <Module::Rack::Utils::Multipart>#parse_multipart
  0.01      1.00     1.00     0.00     0.00        3  String#=~
  0.01      1.00     1.00     0.00     0.00        1  Time#strftime
  0.01     12.00     1.00     0.00    11.00        1  ActiveSupport::BufferedLogger#fatal
  0.01      2.00     1.00     0.00     1.00        1  ActionController::Request#content_length
