Thread ID: 2221388780
Total: 1058.715820

 %self     total     self     wait    child    calls  name
1701532948111008.25      0.00 18014398509480926.00     0.00  1058.72        1  ActiveSupport::Testing::Performance::Profiler#run
  0.04      0.94     0.46     0.00     0.48        1  ActionController::Integration::ControllerCapture::ClassMethods#clear_last_instantiation!
  0.04      1.17     0.46     0.00     0.72        1  ActionController::Integration::Session#requestify
  0.04      1.95     0.46     0.00     1.50        1  ActionController::Integration::ControllerCapture::ClassMethods#new
  0.04     14.18     0.46     0.00    13.72        2  ActiveSupport::Callbacks#run_callbacks
  0.04      4.15     0.46     0.00     3.70        1  ActionController::Dispatcher#flush_logger
  0.04    525.66     0.45     0.00   525.20        1  ActiveRecord::QueryCache#call
  0.04      3.91     0.45     0.00     3.45        1  ActiveSupport::Rescuable#rescue_with_handler
  0.04     11.15     0.45     0.00    10.69        2  ActiveSupport::Callbacks::CallbackChain#run
  0.04      3.78     0.45     0.00     3.32        1  ActionController::Response#charset=
  0.04      0.67     0.45     0.00     0.22        1  <Class::Mime::Type>#lookup
  0.04      1.57     0.45     0.00     1.11        1  ActionController::Response#convert_content_type!
  0.04     27.33     0.45     0.00    26.88        1  ActionController::Response#prepare!
  0.04      1.79     0.45     0.00     1.34        1  ActionController::Response#sending_file?
  0.04      1.11     0.45     0.00     0.66        1  ActionController::Response#nonempty_ok_response?
  0.04      4.13     0.45     0.00     3.67        1  ActionController::Response#convert_cookies!
  0.04      4.06     0.45     0.00     3.60        1  ActionController::Response#handle_conditional_get!
  0.04      4.65     0.45     0.00     4.20        1  ActionController::Response#set_content_length!
  0.04      1.56     0.45     0.00     1.10        1  ActionController::Response#convert_language!
  0.04      1.37     0.45     0.00     0.91        1  ActionController::Response#etag?
  0.04      1.12     0.45     0.00     0.67        1  ActionController::Response#last_modified?
  0.04     10.20     0.45     0.00     9.74        1  ActionController::Request#query_parameters
  0.04      1.50     0.45     0.00     1.05        1  ActionController::Request#content_length
  0.04     29.33     0.45     0.00    28.88        1  ActionController::Request#request_parameters
  0.04      1.25     0.45     0.00     0.80        1  ActionController::Request#xhr?
